Asset Center,Asset Title,Access Manager Value,Asset Status,User Name,User UUPIC,User Duty Center,Org Code,Business Phone,Primary E-mail,Primary Affiliation Agreement,Identity Status,Request Number,Submitted Date,Request Type,Request Status,Is Currently Provisioned,Provisioned Date,Role Title,Privileged Role Type,Selected Value,Request Role Status
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith134,427693006,MSFC,EV74,redacted,redacted,redacted,Active,Bulk-002445119,42887,Bulk,Provisioned,Yes,42887,bad_information,2 - Privileged - System Administration,System Administrator,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith134,427693006,MSFC,EV74,redacted,redacted,redacted,Active,Bulk-002445119,42887,Bulk,Provisioned,Yes,42887,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Function Owner,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith135,270615733,MSFC,EE12,redacted,redacted,redacted,Active,Bulk-002445121,42887,Bulk,Provisioned,Yes,42887,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Function Owner,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith2,274158530,ARC,TH,redacted,redacted,redacted,Active,Add-002502541,42902,Add,Provisioned,Yes,42905,bad_information,2 - Privileged - System Administration,System Administrator,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith136,568938122,MSFC,EV73,redacted,redacted,redacted,Active,Add-002507694,42905,Add,Provisioned,Yes,42908,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Function Owner,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith137,516520,MSFC,EV71,redacted,redacted,redacted,Active,Add-002508274,42905,Add,Provisioned,Yes,42906,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Function Owner,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith138,142543441,MSFC,CS50,redacted,redacted,redacted,Active,Add-002550932,42929,Add,Provisioned,Yes,42933,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Function Owner,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith112,442172425,JSC,XS111,redacted,redacted,redacted,Active,Add-002614020,42978,Add,Provisioned,Yes,42979,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Task Team Member,Provisioned
HQ,AGCY Functional Integration Query System (FIQS),16248,Active,ssmith139,910457542,MSFC,EV73,redacted,redacted,redacted,Active,Add-002666545,42983,Add,Provisioned,Yes,42983,bad_information,"4 - Privileged - Sensitive data (PII, SBU, ITAR)",Function Owner,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith21,51594710,HQ,LM020,redacted,redacted,redacted,Active,Add-001649689,42418,Add,Provisioned,Yes,42419,bad_information,2 - Privileged - System Administration,DAR Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith21,51594710,HQ,LM020,redacted,redacted,redacted,Active,Add-001649689,42418,Add,Provisioned,Yes,42419,bad_information,5 - Privileged - Account Administration (includes help desk user),Account Administrator,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith21,51594710,HQ,LM020,redacted,redacted,redacted,Active,Add-001649689,42418,Add,Provisioned,Yes,42419,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith22,942132423,HQ,LM020,redacted,redacted,redacted,Active,Add-001649691,42418,Add,Provisioned,Yes,42424,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith22,942132423,HQ,LM020,redacted,redacted,redacted,Active,Add-001649691,42418,Add,Provisioned,Yes,42424,bad_information,5 - Privileged - Account Administration (includes help desk user),Account Administrator,Provisioned
